reported,type,quantity,net_length,rope_length,latitude,longitude
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,2,46.5566666666667,-63.3802777777778
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,120,48.0219444444444,-64.3983333333333
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,46.4852777777778,-62.2172222222222
2019-04-24,CASIER/CAGE - TRAP/POT,2,0,120,44.5266666666667,-58.9877777777778
2019-05-09,CASIER/CAGE - TRAP/POT,25,0,7200,46.5166666666667,-56.05
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,250,48.0105555555556,-63.6766666666667
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,300,48.0366666666667,-63.4516666666667
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,48.0925,-63.5711111111111
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,48.2755555555556,-64.1605555555556
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,600,48.0461111111111,-63.7461111111111
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,150,48.2288888888889,-64.29
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,510,47.9241666666667,-65.1638888888889
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,47.4269444444444,-63.5341666666667
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,400,47.7683333333333,-62.5655555555556
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,47.7827777777778,-63.135
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,49.9130555555556,-63.355
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,49.9130555555556,-63.355
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,450,49.9077777777778,-63.2852777777778
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,500,47.8397222222222,-63.3180555555556
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,47.7061111111111,-63.4219444444444
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,47.3830555555556,-55.3125
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,45.62,-59.6686111111111
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,900,45.6247222222222,-59.5536111111111
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,240,47.9427777777778,-65.04
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,0,47.4922222222222,-61.4216666666667
2019-05-08,CASIER/CAGE - TRAP/POT,2,0,0,46.9502777777778,-64.0002777777778
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,46.9172222222222,-64.3511111111111
2019-05-14,CASIER/CAGE - TRAP/POT,1,0,450,46.8163888888889,-61.9572222222222
2019-05-14,CASIER/CAGE - TRAP/POT,2,0,900,46.7866666666667,-62.1686111111111
2019-05-07,CASIER/CAGE - TRAP/POT,2,0,0,47.3936111111111,-61.6116666666667
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,46.9066666666667,-63.9458333333333
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,100,46.9658333333333,-63.8855555555556
2019-05-15,CASIER/CAGE - TRAP/POT,2,0,0,46.6977777777778,-63.9069444444444
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,46.2002777777778,-62.1841666666667
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,47.585,-63.6405555555556
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,47.5519444444444,-63.7025
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,20,47.5522222222222,-63.6855555555556
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,450,47.6436111111111,-63.4694444444444
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,450,47.6408333333333,-63.4283333333333
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,180,47.2972222222222,-63.0827777777778
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,46.7088888888889,-63.9005555555556
2019-05-10,CASIER/CAGE - TRAP/POT,2,0,900,47.5666666666667,-63.5333333333333
2019-05-08,CASIER/CAGE - TRAP/POT,0,0,0,47.9666666666667,-64.4183333333333
2019-05-10,CASIER/CAGE - TRAP/POT,3,0,150,15.4916666666667,-30.0486111111111
2019-05-08,CASIER/CAGE - TRAP/POT,7,0,312,48.8072222222222,-64.3769444444444
2019-05-11,CASIER/CAGE - TRAP/POT,7,0,312,48.79,-64.3569444444444
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,47.3802777777778,-62.5247222222222
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,0,47.7577777777778,-63.4711111111111
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,47.6572222222222,-63.3833333333333
2019-05-11,CASIER/CAGE - TRAP/POT,2,0,50,46.1930555555556,-62.4736111111111
2019-05-15,CASIER/CAGE - TRAP/POT,4,0,0,46.4705555555556,-61.9547222222222
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,47.4844444444444,-61.3447222222222
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,0,47.0441666666667,-62.5411111111111
2019-05-16,CASIER/CAGE - TRAP/POT,1,0,0,49.7863888888889,-62.5252777777778
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,100,48.0833333333333,-63.6416666666667
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,100,48.2544444444444,-64.2675
2019-05-16,CASIER/CAGE - TRAP/POT,2,0,0,46.8591666666667,-63.9866666666667
2019-05-12,CASIER/CAGE - TRAP/POT,1,0,420,47.4697222222222,-62.5563888888889
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,500,46.7558333333333,-61.5311111111111
2019-04-26,CASIER/CAGE - TRAP/POT,7,0,450,47.4925,-60.5208333333333
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,47.8577777777778,-64.98
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,350,48.0511111111111,-64.7958333333333
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,0,47.6775,-64.5930555555556
2019-05-12,FILET - NET,2,600,200,47.5158333333333,-61.77
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,47.7052777777778,-61.5852777777778
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,0,47.7052777777778,-61.5852777777778
2019-05-15,CASIER/CAGE - TRAP/POT,1,0,0,47.2994444444444,-63.1916666666667
