"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,2,"46°29'24"" N","62°28'31"" W"
2019-05-05,CASIER/CAGE - TRAP/POT,1,0,500,"47°48'59"" N","63°20'17"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,1,0,10,"47°34'76"" N","63°18'38"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,300,"48°08'785"" N","64°31'654"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,470,"47°37'68"" N","63°20'42"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,600,"48°09'537"" N","64°29'906"" W"
2019-05-06,CASIER/CAGE - TRAP/POT,1,0,450,"47°39'401"" N","63°26'813"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,1,0,450,"46°59'230"" N","62°29'929"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,0,0,210,"47°19'815"" N","63°15'370"" W"
UNCONFIRMED,CASIER/CAGE - TRAP/POT,1,0,240,"47°02'40"" N","62°33'20"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,10,"47°30'09"" N","63°12'30"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,1,0,227,"47°09'587"" N","62°41'146"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"47°14'00"" N","65°86'00"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,"47°24'36"" N","63°12'22"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,540,"46°46'902"" N","61°46'065"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,1,0,0,"47°22'185"" N","61°59'462"" W"
2019-05-03,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"47°29'108"" N","61°22'213"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°43'478"" N","63°50'733"" W"
2019-05-11,CASIER/CAGE - TRAP/POT,0,0,0,"45°57'08"" N","62°17'05"" W"
