"Last date the gear was known to be at this locaiton / La date à laquelle l’engin a été repéré à cet endroit pour
la dernière fois",Gear Type / Type d’engin,Number of Units / Nombre d’engins perdus ,Estimated Length of Netting Lost / Longueur estimée de filets perdus,Estimated Length of Rope Lost / Longueur estimée de corde perdue,Latitude,Longitude
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'644"" N","63°59'504"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°55'124"" N","63°56'279"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,4,0,0,See Notes,See Notes
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,500,"47°59'45"" N","63°26'55"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,6,0,540,"46°11'235"" N","62°11'463"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,6,0,540,"46°11'280"" N","62°11'319"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,600,"47°49'806"" N","62°56'046"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,600,"47°49'729"" N","62°54'221"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,72,"46°0'0"" N","60°0'0"" W"
2019-06-02,CASIER/CAGE - TRAP/POT,2,0,30,"150°55'15"" N","307°08'14"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,1,0,0,"47°19'819"" N","62°04'421"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"48°19'156"" N","64°30'664"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"48°16'850"" N","64°22'437"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,6,0,0,"46°30'06"" N","62°14'08"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,0,0,0,"46°30'01"" N","62°14'07"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,0,0,0,"46°32'06"" N","62°15'00"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,1,0,0,"46°53'17"" N","63°57'65"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"47°39'332"" N","63°35'692"" W"
2019-05-01,CASIER/CAGE - TRAP/POT,6,0,0,"45°55'03"" N","62°16'04"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,450,"46°43'704"" N","61°29'336"" W"
2019-05-21,CASIER/CAGE - TRAP/POT,10,0,600,"46°17'22.80"" N","60°15'06"" W"
N/A,CASIER/CAGE - TRAP/POT,2,0,0,"47°38'15"" N","61°22'20"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,0,"47°04'02"" N","63°58'09"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,550,"48°13'00"" N","63°33'08"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,6,0,0,See Notes,See Notes
2019-05-17,CASIER/CAGE - TRAP/POT,1,0,480,"47°22'97"" N","62°28'39"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,498,"47°24'85"" N","62°32'55"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,498,"47°59'10"" N","61°46'87"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,498,"47°58'29"" N","61°46'73"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,498,"47°58'33"" N","61°47'88"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,1,0,498,"47°57'58"" N","61°49'06"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,498,"47°24'85"" N","62°32'55"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,20,0,3000,"49°00'232"" N","67°00'847"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"47°58'09"" N","64°26'80"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,57,0,4500,"46°34'000"" N","63°41'824"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-05-28,CASIER/CAGE - TRAP/POT,5,0,360,"46°49'796"" N","60°48'516"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,1,0,0,"46°27'68"" N","61°55'68"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,5,"47°58'82"" N","64°33'75"" W"
2019-05-22,CASIER/CAGE - TRAP/POT,2,0,96,"46°52'37"" N","60°24'24"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°26'52"" N","61°59'58"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"47°40'769"" N","63°25'836"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°06'281"" N","63°10'202"" W"
2019-05-26,CASIER/CAGE - TRAP/POT,2,0,0,"47°45'962"" N","65°19'840"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'499"" N","65°10'250"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,0,"47°40'790"" N","65°17'120"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"46°56'05"" N","63°00'58"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"46°58'96"" N","62°59'05"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"47°15'09"" N","63°41'95"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"46°57'43"" N","62°59'27"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,0,"46°53'17"" N","63°57'65"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,3,0,0,"47°02'18"" N","60°32'37"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,30,0,5400,"45°58'48"" N","63°14'92"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,420,"47°07'141"" N","62°48'951"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'67"" N","62°06'96"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,5,0,420,"45°28'.9"" N","60°55'.4"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,1,0,498,"47°59'14"" N","63°40'58"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,1,0,498,"48°05'43"" N","63°46'51"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,600,"47°48'944"" N","62°56'080"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,2,0,780,"47°09'113"" N","63°15'357"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,2,0,780,"47°09'754"" N","63°14'06"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,450,"46°50'159"" N","62°10'295"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,450,"46°50'766"" N","62°14'780"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,440,"46°49'966"" N","61°57'803"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,1,0,445,"46°49'559"" N","61°48'991"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'478"" N","61°23'229"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"46°51'272"" N","63°69'467"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°21'57"" N","62°00'59"" W"
2019-06-06,AUTRE - OTHER,1,Liner inside rake is 15 ft,No rope lost. Lost 1770 ft of wire. ,"43°11'49"" N","66°23'45"" W"
2019-06-02,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'97"" N","62°45'07"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,2,0,0,"46°27'01"" N","61°57'06"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"46°51'239"" N","63°59'519"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"46°51'065"" N","64°00'067"" W"
2019-06-06,AUTRE - OTHER,1,Liner inside rake is 15 ft,No rope lost. Lost 1770 ft of wire. ,"43°11'49"" N","66°23'45"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,0,"46°49'807"" N","63°59'858"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"46°41'910"" N","63°54'376"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,600,"48°05'81"" N","63°40'30"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,600,"48°17'15"" N","63°26'37"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,600,"48°09'77"" N","63°34'76"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,600,"48°63'31"" N","63°31'26"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,600,"48°16'25"" N","64°25'40"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°45'89"" N","62°59'46"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°52'2375"" N","63°10'2558"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"48°09'5725"" N","63°33'7393"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°12'76"" N","63°35'56"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,498,"47°50'400"" N","63°11'600"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,498,"47°50'090"" N","63°11'900"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,498,"47°51'870"" N","63°06'238"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"46°57'769"" N","62°50'681"" W"
2019-05-13,CASIER/CAGE - TRAP/POT,1,0,500,"48°12'11"" N","61°21'06"" W"
2019-05-09,CASIER/CAGE - TRAP/POT,1,0,10,"48°02'59"" N","61°20'21"" W"
2019-05-19,CASIER/CAGE - TRAP/POT,1,0,450,"48°03'24"" N","61°23'21"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'191"" N","61°20'217"" W"
2019-06-02,CASIER/CAGE - TRAP/POT,1,0,300,"47°45'856"" N","63°06'0810"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,500,"47°48'55"" N","62°23'37"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,5,0,300,"47°52'53"" N","64°45'589"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,9,0,500,"47°19'09"" N","60°37'44"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,17,0,1000,"47°019'09"" N","60°37'044"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"47°28'087"" N","64°10'952"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°59'96"" N","63°00'57"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°58'42"" N","62°53'93"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°56'13"" N","62°34'55"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,500,"46°49'001"" N","61°57'420"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,120,"47°09'10"" N","62°42'40"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°13'40"" N","62°39'42"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,450,"47°06'31"" N","62°07'52"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,420,"46°57'64"" N","62°57'97"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,900,"45°04'435"" N","59°13'616"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,900,"45°04'404"" N","59°14'052"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,900,"45°04'427"" N","59°14'653"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,1,0,900,"45°01'190"" N","59°05'518"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°47'03"" N","64°00'07"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'546"" N","64°00'768"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,6,0,0,"46°28'17"" N","62°59'886"" W"
,CASIER/CAGE - TRAP/POT,1,0,0,"47°23'457"" N","63°42'278"" W"
,CASIER/CAGE - TRAP/POT,1,0,0,"48°10'898"" N","64°43'733"" W"
,CASIER/CAGE - TRAP/POT,1,0,0,"48°11'061"" N","64°43'595"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,2,0,0,"47°37'78"" N","61°21'17"" W"
2019-05-07,CASIER/CAGE - TRAP/POT,7,,200,"47°30'80"" N","61°15'81"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'611"" N","63°59'862"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°49'928"" N","64°00'334"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,0,"46°52'045"" N","63°57'541"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,6,0,0,"46°28'09"" N","62°04'03"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,9,0,810,"46°16'19"" N","60°12'55"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,2,0,0,"45°20'688"" N","61°15'265"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,225,"48°15'70"" N","64°04'18"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,"47°39'96"" N","61°54'70"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,420,"47°03'30"" N","63°16'10"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,420,"47°03'34"" N","63°15'99"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,432,"46°55'69"" N","62°59'86"" W"
2019-06-09,FILET - NET,3,252,210,"48°03'574"" N","64°22'634"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-06-02,CASIER/CAGE - TRAP/POT,1,0,0,"47°40'00"" N","64°45'00"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,2,0,0,"45°41'836"" N","60°17'548"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,0,"46°45'69"" N","63°55'52"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,450,"46°59'11"" N","62°52'26"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,480,"46°50'033"" N","61°58'796"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,5,0,0,"46°31'28"" N","61°04'37"" W"
2019-05-25,CASIER/CAGE - TRAP/POT,1,0,0,"47°43'38"" N","61°34'59"" W"
2019-05-29,CASIER/CAGE - TRAP/POT,2,0,0,"47°39'21"" N","61°29'38"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,6,"49°10'010"" N","68°05'436"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°59'305"" N","63°26'735"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,1,0,0,"45°20'086"" N","60°51'103"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,1,0,0,"45°20'258"" N","60°51'023"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,1,0,0,"45°17'591"" N","60°53'436"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,1,0,0,"46°34'22"" N","63°40'42"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,420,"47°14'678"" N","63°38'952"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,500,"47°40'739"" N","63°29'935"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,1,0,0,"46°47'947"" N","61°50'580"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,10,"46°45'226"" N","61°48'518"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,0,"46°46'396"" N","61°51'865"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"47°46'560"" N","63°24'010"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,500,"47°40'739"" N","63°29'935"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,475,"47°31'46"" N","63°10'40"" W"
2019-06-01,CASIER/CAGE - TRAP/POT,1,0,475,"47°53'12"" N","63°18'40"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,3,0,1350,"14°70'45"" N","30°00'00"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,450,"46°47'43"" N","61°49'80"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,450,"46°46'83"" N","61°45'71"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,0,"47°58'20"" N","64°33'75"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,240,"47°55'371"" N","63°48'998"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'33.33"" N","63°59'04.05"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°49'75.7"" N","63°59'74.4"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°49'9.47"" N","63°59'7.69"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,450,"47°00'41"" N","63°02'06"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'25"" N","63°59'14"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,1,0,0,"47°02'432"" N","62°27'103"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,120,"47°09'10"" N","62°42'40"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,1,0,400,"47°22'50"" N","63°07'30"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,1,0,10,"47°34'76"" N","63°18'38"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,0,"47°13'40"" N","62°39'42"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,300,"48°09'28"" N","64°49'96"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,300,"48°09'28"" N","64°49'96"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,300,"48°09'28"" N","64°49'96"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,500,"48°11'19"" N","64°43'81"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,500,"48°10'76"" N","64°41'40"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,500,"48°09'85"" N","64°41'03"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,500,"48°13'00"" N","64°40'00"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,60,"46°29'08"" N","61°27'05"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,60,"46°29'08"" N","61°27'05"" W"
2019-05-27,CASIER/CAGE - TRAP/POT,4,0,288,"46°15'07.01"" N","60°11'45.08"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,32,0,4224,"46°16'26.8"" N","60°09'41.59"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"47°27'489"" N","61°54'170"" W"
2019-05-28,CASIER/CAGE - TRAP/POT,8,0,888,"46°14'20.20"" N","60°10'06"" W"
2019-05-23,CASIER/CAGE - TRAP/POT,2,0,120,"46°04'36.5"" N","59°50'12.8"" W"
2019-06-12,CASIER/CAGE - TRAP/POT,1,0,0,"46°503'94"" N","63°54'639"" W"
2019-05-31,CASIER/CAGE - TRAP/POT,0,0,0,"47°35'508"" N","64°48'908"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,5,0,500,"47°32'14"" N","60°35'00"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,100,"47°32'25"" N","60°35'319"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,100,"47°31'060"" N","60°34'336"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,100,"47°29'144"" N","60°33'741"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,100,"47°29'051"" N","60°33'924"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,100,"47°32'852"" N","60°34'016"" W"
2019-06-06,CASIER/CAGE - TRAP/POT,1,0,0,"47°50'396"" N","65°02'656"" W"
N/A,CASIER/CAGE - TRAP/POT,1,4,2,"46°02'3812"" N","62°25'5144"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"48°18'942"" N","64°28'365"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"45°18'278"" N","64°30'169"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,0,"46°28'764"" N","61°05'225"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,"46°42'36"" N","60°56'66"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,2,0,15,"46°03'604"" N","61°32'252"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°49'908"" N","65°06'683"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°50'111"" N","65°08'044"" W"
2019-06-12,CASIER/CAGE - TRAP/POT,1,0,0,"46°65'16"" N","36°57'75"" W"
2019-06-03,CASIER/CAGE - TRAP/POT,7,0,150,See Notes,See Notes
2019-06-03,CASIER/CAGE - TRAP/POT,7,0,150,See Notes,See Notes
2019-05-27,CASIER/CAGE - TRAP/POT,1,0,5,"45°35'885"" N","60°30'172"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,0,"46°18'645"" N","62°20'953"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,50,"48°21'506"" N","63°44'333"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°59'96"" N","63°00'57"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°58'42"" N","62°53'93"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"46°56'13"" N","62°34'55"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,0,"46°43'146"" N","63°56'240"" W"
2019-06-12,CASIER/CAGE - TRAP/POT,1,0,0,"46°43'150"" N","63°56'200"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,500,"48°16'11"" N","64°04'77"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,0,See Notes,See Notes
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,540,See Notes,See Notes
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,432,"47°26'97"" N","64°10'86"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,90,"45°04'7604"" N","60°47'4542"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°22'798"" N","62°30'023"" W"
2019-06-05,CASIER/CAGE - TRAP/POT,1,0,450,"47°23'011"" N","62°30'006"" W"
2019-06-07,CASIER/CAGE - TRAP/POT,1,0,600,"48°42'21"" N","64°08'33"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,2,0,140,"46°15'222"" N","61°19'514"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,2,0,140,"46°15'758"" N","61°19'449"" W"
2019-05-04,CASIER/CAGE - TRAP/POT,2,0,140,"46°15'441"" N","61°19'181"" W"
2019-05-10,CASIER/CAGE - TRAP/POT,2,0,140,"46°15'955"" N","61°19'093"" W"
2019-05-18,CASIER/CAGE - TRAP/POT,1,0,0,"46°15'120"" N","61°18'970"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,2,0,140,"46°15'601"" N","61°18'772"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,2,0,200,"46°15'065"" N","61°18'993"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,1,"47°17'44"" N","61°37'27"" W"
2019-06-04,CASIER/CAGE - TRAP/POT,1,0,500,"47°07'42"" N","62°47'31"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,360,"48°32'276"" N","62°04'404"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°47'76"" N","61°21'14"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,60,"46°49'172"" N","61°25'434"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,0,"47°46'359"" N","63°31'284"" W"
2019-06-15,CASIER/CAGE - TRAP/POT,1,0,0,"46°180'10"" N","64°002'74"" W"
2019-06-15,CASIER/CAGE - TRAP/POT,1,0,0,"46°42'70"" N","63°54'83"" W"
2019-06-15,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'14"" N","63°56'80"" W"
2019-06-16,CASIER/CAGE - TRAP/POT,1,0,420,"47°18'41"" N","62°33'91"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,480,"47°56'15"" N","65°13'67"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,480,"47°54'48"" N","65°11'52"" W"
2019-06-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°13'97"" N","62°41'14"" W"
2019-06-16,CASIER/CAGE - TRAP/POT,1,0,0,"47°06'81"" N","62°46'65"" W"
2019-06-17,CASIER/CAGE - TRAP/POT,3,0,0,"46°28'08"" N","62°05'09"" W"
2019-05-30,CASIER/CAGE - TRAP/POT,8,0,640,See Notes,See Notes
2019-06-15,CASIER/CAGE - TRAP/POT,1,0,80,"49°51'07"" N","80°44'04"" W"
2019-06-17,CASIER/CAGE - TRAP/POT,3,0,0,"46°28'08"" N","62°05'09"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,500,"47°27'670"" N","62°29'693"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,500,"47°32'612"" N","62°26'624"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,475,"47°49'32"" N","62°27'85"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,1,0,475,"47°31'44"" N","63°27'90"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,3,0,300,"47°20'538"" N","64°54'064"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,3,0,300,"47°14'68"" N","64°54'825"" W"
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,420,"46°25'487"" N","61°24'477"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,1,0,0,"46°29'193"" N","61°26'282"" W"
2019-06-11,CASIER/CAGE - TRAP/POT,5,0,0,"46°27'59"" N","61°05'49"" W"
2019-06-08,CASIER/CAGE - TRAP/POT,2,0,90,"47°59'869"" N","64°28'350"" W"
2019-05-24,CASIER/CAGE - TRAP/POT,13,0,247,See Notes,See Notes
2019-06-12,CASIER/CAGE - TRAP/POT,7,0,140,See Notes,See Notes
2019-06-10,CASIER/CAGE - TRAP/POT,1,0,400,"47°08'886"" N","61°06'223"" W"
2019-06-09,CASIER/CAGE - TRAP/POT,5,0,50,"47°43'937"" N","64°36'819"" W"
2019-06-17,CASIER/CAGE - TRAP/POT,1,0,0,"46°09'23"" N","62°13'17"" W"
2019-06-17,CASIER/CAGE - TRAP/POT,1,0,0,"46°56'28"" N","62°56'12"" W"
2019-06-08,FILET - NET,1,60,60,"14°617'63"" N","30°219'08"" W"
2019-05-08,CASIER/CAGE - TRAP/POT,3,0,300,"47°30'883"" N","64°37'191"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°48'58"" N","62°24'09"" W"
2019-06-15,AUTRE - OTHER,1,0,500,"47°28'151"" N","61°33'483"" W"
2019-06-17,CASIER/CAGE - TRAP/POT,1,0,0,"46°50'485"" N","63°59'940"" W"
2019-06-13,CASIER/CAGE - TRAP/POT,1,0,0,"47°14'01"" N","62°41'28"" W"
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
N/A,CASIER/CAGE - TRAP/POT,1,0,600,See Notes,See Notes
