"TargetName";"ClickLat";"ClickLon";"UserClass1"
"Contact0260";48.0232706;-63.50526015;
"Contact0261";48.02135738;-63.50598944;
"Contact0263";48.02257465;-63.51027162;
"Contact0264";48.02110857;-63.51067893;
"Contact0265";48.0230999;-63.51188488;
"Contact0266";48.02260061;-63.51615229;
"Contact0267";48.02093899;-63.51784468;
"Contact0270";48.02159286;-63.5307749;
"Contact0272";48.0229292;-63.53373844;
"Contact0273";48.02290082;-63.5654835;
"Contact0274";48.02295644;-63.57100581;
"Contact0275";48.02093297;-63.58310719;
"Contact0276";48.02148005;-63.61624525;
"Contact0277";48.02074172;-63.61810407;
"Contact0278";48.02104224;-63.61933108;
"Contact0281";48.02111305;-63.64653981;
"Contact0283";48.01726347;-63.51967366;
"Contact0284";48.01563865;-63.51972974;
"Contact0286";48.01760728;-63.52449944;
"Contact0287";48.01768282;-63.52772755;
"Contact0290";48.01642365;-63.59954769;
"Contact0291";48.017168;-63.6039417;
"Contact0292";48.01566347;-63.6069661;
"Contact0293";48.01560032;-63.62023426;
"Contact0294";48.0173895;-63.62933525;
"Contact0295";48.01729772;-63.62853701;
"Contact0296";48.01645421;-63.57251424;
"Contact0298";48.01606929;-63.57886354;
"Contact0302";48.0164543;-63.61195283;
"Contact0308";48.01769683;-63.63317495;
"Contact0309";48.01633594;-63.63627081;
"Contact0310";48.01654809;-63.63690635;
"Contact0311";48.01653612;-63.63602484;
"Contact0312";48.01552598;-63.63855633;
"Contact0313";48.01704872;-63.63811815;
"Contact0315";48.01589807;-63.64206144;
"Contact0317";48.01740923;-63.6434397;
"Contact0319";48.01601878;-63.65065097;
"Contact0322";48.0163078;-63.6574857;
"Contact0331";48.01407069;-63.62402401;
"Contact0332";48.01394543;-63.6211702;
"Contact0333";48.01552599;-63.61907455;
"Contact0334";48.01488736;-63.6172755;
"Contact0339";48.01527487;-63.59956648;
"Contact0341";48.01490818;-63.58857567;
"Contact0342";48.0149383;-63.58842948;
"Contact0344";48.01549021;-63.5847325;
"Contact0347";48.01361259;-63.57935598;
"Contact0348";48.01384124;-63.5719281;
"Contact0349";48.01523752;-63.57182207;
"Contact0350";48.01533737;-63.55216706;
"Contact0353";48.01545936;-63.51662643;
"Contact0356";48.01090242;-63.52357618;
"Contact0357";48.01331917;-63.53810599;
"Contact0359";48.01280952;-63.56892863;
"Contact0360";48.01267446;-63.58104567;
"Contact0361";48.01193996;-63.60185556;
"Contact0362";48.01316621;-63.60727174;
"Contact0364";48.01232363;-63.61983414;
"Contact0366";48.01127588;-63.63996547;
"Contact0367";48.01283593;-63.6508085;
"Contact0368";48.01256567;-63.6547039;
"Contact0370";48.01237852;-63.6616745;
"Contact0371";48.00870679;-63.66288462;
"Contact0372";48.00969753;-63.66091616;
"Contact0373";48.00994056;-63.65795068;
"Contact0376";48.00884794;-63.64775467;
"Contact0377";48.00856024;-63.62849168;
"Contact0380";48.01058851;-63.61165905;
"Contact0382";48.01066033;-63.59200687;
"Contact0384";48.00928491;-63.57989867;
"Contact0385";48.00897875;-63.57611077;
"Contact0387";48.01051965;-63.56217017;
"Contact0388";48.01085976;-63.54722473;
"Contact0389";48.00985643;-63.54340779;
"Contact0390";48.00931663;-63.53863593;
"Contact0391";48.00838514;-63.53688487;
"Contact0392";48.0083991;-63.53367244;
"Contact0393";48.01073667;-63.5314634;
"Contact0394";48.00911103;-63.52340173;
"Contact0399";48.00614705;-63.5246092;
"Contact0400";48.00807756;-63.5268771;
"Contact0401";48.00751991;-63.53099348;
"Contact0402";48.0060415;-63.53896801;
"Contact0403";48.00773048;-63.54011319;
"Contact0404";48.00807678;-63.54211092;
"Contact0406";48.00649251;-63.55167829;
"Contact0407";48.00718257;-63.58430189;
"Contact0408";48.00777642;-63.58707443;
"Contact0409";48.00807155;-63.59132742;
"Contact0411";48.00769206;-63.62566784;
"Contact0415";48.00824759;-63.65325257;
"Contact0416";48.00841415;-63.66035597;
"Contact0417";48.00449735;-63.6608088;
"Contact0419";48.00440695;-63.65945605;
"Contact0421";48.00407246;-63.6452388;
"Contact0422";48.00574476;-63.64482741;
"Contact0423";48.00565665;-63.6354762;
"Contact0424";48.00444125;-63.6228375;
"Contact0428";48.00374463;-63.59470744;
"Contact0429";48.00568406;-63.57934723;
"Contact0430";48.00593115;-63.57851455;
"Contact0431";48.00214148;-63.58752784;
"Contact0432";48.00344572;-63.58803713;
"Contact0433";48.00333992;-63.58708451;
"Contact0434";48.00137203;-63.59219223;
"Contact0436";48.00218998;-63.60819786;
"Contact0437";48.0012255;-63.60844831;
"Contact0439";48.00175991;-63.63218511;
"Contact0441";48.0032021;-63.64447632;
"Contact0442";48.00246807;-63.65077303;
"Contact0443";48.00209686;-63.65273813;
"Contact0444";48.00258852;-63.65535028;
"Contact0445";48.00266982;-63.66326338;
"Contact0447";47.99973316;-63.66803609;
"Contact0448";47.99799854;-63.66318508;
"Contact0458";48.00058676;-63.62075724;
"Contact0459";48.00027784;-63.61507354;
"Contact0460";47.99934052;-63.61465;
"Contact0461";48.00047266;-63.605001;
