"TARGET NAME";"LAT";"LON";"CLASS"
"Sonar Contact 93";48.0299564440339;-64.9592114425164;
"Sonar Contact 94";48.0278437510933;-64.9600139456327;"casier"
"Sonar Contact 95";48.0274203909396;-64.9602100279638;
"Sonar Contact 96";48.0242066344105;-64.9614643435437;
"Sonar Contact 97";48.0227337041198;-64.9619808707627;"casier"
"Sonar Contact 98";48.0230172734475;-64.9630691920267;
"Sonar Contact 99";48.0219613924874;-64.9634010122909;"casier"
"Sonar Contact 100";48.0215818766498;-64.963647562566;
"Sonar Contact 101";48.0213659898571;-64.9643367191183;"casier"
"Sonar Contact 102";48.020964103685;-64.9637198027844;
"Sonar Contact 103";48.0209361474219;-64.9638532387971;
"Sonar Contact 104";48.0204052275284;-64.9634158234874;
"Sonar Contact 105";48.0202488561767;-64.9631413293653;
"Sonar Contact 106";48.0199486473555;-64.9636307555643;
"Sonar Contact 107";48.0186117103553;-64.9645129970901;
"Sonar Contact 108";48.0181795719325;-64.9651801008214;
"Sonar Contact 109";48.0174487160386;-64.9652473297888;
"Sonar Contact 110";48.0172564881454;-64.9642913466056;
"Sonar Contact 111";48.0165946090249;-64.9655561802537;
"Sonar Contact 112";48.0160029436429;-64.9652220623704;
"Sonar Contact 113";48.0147021968709;-64.9661894359898;
"Sonar Contact 114";48.0142676947102;-64.9638767563774;"casier"
"Sonar Contact 115";48.0137324778146;-64.963779551956;"casier"
"Sonar Contact 116";48.014002273472;-64.9651091361464;
"Sonar Contact 117";48.0131927288256;-64.9647331727242;"casier"
"Sonar Contact 118";48.0205374026353;-64.9629040509828;
"Sonar Contact 119";48.0276782843796;-64.9929804479701;
"Sonar Contact 120";48.0274818246563;-64.9937473705058;"casier"
"Sonar Contact 121";48.0276775526801;-64.9939109026403;
"Sonar Contact 122";48.0275885416824;-64.9941183641443;
"Sonar Contact 123";48.0269147919006;-64.9929292703867;"casier"
"Sonar Contact 124";48.0276149814757;-64.9950243590778;
"Sonar Contact 125";48.0266337094388;-64.9931916356486;
"Sonar Contact 126";48.0271921428975;-64.9935366046734;
"Sonar Contact 127";48.027196561482;-64.9943614209356;
"Sonar Contact 128";48.0271839753814;-64.9948890995633;
"Sonar Contact 129";48.0269384775857;-64.9953564739784;"casier"
"Sonar Contact 130";48.0262765344168;-64.9944851110322;
"Sonar Contact 131";48.0267176951962;-64.9957196140628;
"Sonar Contact 132";48.0268437870589;-64.9960883831606;"casier"
"Sonar Contact 133";48.0257215404983;-64.9946771140486;"casier"
"Sonar Contact 134";48.0250238706755;-64.9960673734652;
"Sonar Contact 135";48.0244046144197;-64.9967326101508;"casier"
"Sonar Contact 136";48.0251228817491;-64.9957844754892;"casier"
"Sonar Contact 137";48.0245284656017;-64.9974164437413;
"Sonar Contact 138";48.024964627664;-64.9979539455971;
"Sonar Contact 139";48.0252147148032;-64.9975569891907;
"Sonar Contact 140";48.0247854619873;-64.9964135938153;
"Sonar Contact 141";48.023930081221;-65.0000717102321;
